N,K,route,vfft_ns,vfft_gflops,mkl_ns,mkl_gflops,mkl_over_vfft
2,1,mono,4,2.500,11,0.909,2.750
4,1,mono,4,10.000,11,3.636,2.750
8,1,mono,7,17.143,12,10.000,1.714
16,1,ztt,10,32.000,13,24.615,1.300
32,1,2p,17,47.059,17,47.059,1.000
64,1,2p,31,61.935,31,61.935,1.000
128,1,2p,66,67.879,68,65.882,1.030
256,1,2p,135,75.852,137,74.745,1.015
512,1,2p,297,77.576,291,79.175,0.980
1024,1,ztt,713,71.809,848,60.377,1.189
2048,1,ztt,1652,68.184,2162,52.100,1.309
4096,1,ztt,3679,66.801,3825,64.251,1.040
8192,1,ztt,4783,111.328,8352,63.755,1.746
16384,1,ztt,10804,106.153,14645,78.312,1.356
32768,1,ztt,20289,121.130,19813,124.040,0.977
65536,1,ztt,25213,207.944,38750,135.300,1.537
131072,1,ztt,51707,215.466,77100,144.502,1.491
262144,1,ztt,103363,228.253,164325,143.575,1.590
524288,1,fs,271150,183.689,363462,137.036,1.340
1048576,1,fs,578787,181.168,893788,117.318,1.544
2097152,1,fs,1726562,127.537,2589850,85.025,1.500
4194304,1,fs,6328113,72.909,6966025,66.232,1.101
