N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
4096,1,z:ilp,nat-ip,3828,4107,64.206,1.073,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3826,4109,64.234,1.074,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3831,4126,64.155,1.077,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3827,4091,64.223,1.069,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3827,4096,64.220,1.070,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3824,4093,64.272,1.070,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3831,4092,64.155,1.068,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3836,4091,64.062,1.066,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3825,4093,64.251,1.070,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3830,4092,64.172,1.068,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3836,4092,64.072,1.067,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3824,4092,64.261,1.070,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3834,4092,64.096,1.067,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3828,4094,64.203,1.070,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3913,4220,62.807,1.079,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3847,4097,63.881,1.065,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3828,4094,64.196,1.069,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3821,4099,64.320,1.073,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3825,4093,64.254,1.070,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3825,4091,64.248,1.069,3.902e-16,ztt,1
4096,1,z:ilp,nat-ip,3826,4103,64.237,1.072,3.902e-16,ztt,0
4096,1,z:ilp,nat-ip,3829,4095,64.182,1.069,3.902e-16,ztt,1
