N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,1,z:ilp,nat-oop,4,6,2.775,1.568,0.000e+00,mono,0
2,1,z:ilp,nat-oop,4,6,2.746,1.518,0.000e+00,mono,1
4,1,z:ilp,nat-oop,5,6,8.814,1.275,0.000e+00,mono,0
4,1,z:ilp,nat-oop,5,6,8.785,1.279,0.000e+00,mono,1
8,1,z:ilp,nat-oop,7,6,16.833,0.845,7.430e-17,mono,0
8,1,z:ilp,nat-oop,7,6,16.847,0.859,7.430e-17,mono,1
16,1,z:ilp,nat-oop,10,8,31.086,0.750,7.549e-17,ztt,0
16,1,z:ilp,nat-oop,11,8,28.669,0.697,7.549e-17,ztt,1
32,1,z:ilp,nat-oop,17,16,47.910,0.983,1.738e-16,2p,0
32,1,z:ilp,nat-oop,17,16,47.915,0.985,1.738e-16,2p,1
64,1,z:ilp,nat-oop,37,39,51.972,1.059,1.530e-16,2p,0
64,1,z:ilp,nat-oop,32,39,60.635,1.239,1.530e-16,2p,1
128,1,z:ilp,nat-oop,66,73,68.018,1.111,3.213e-16,2p,0
128,1,z:ilp,nat-oop,66,73,68.199,1.113,3.213e-16,2p,1
256,1,z:ilp,nat-oop,136,144,75.548,1.066,0.000e+00,2p,0
256,1,z:ilp,nat-oop,135,145,75.641,1.073,0.000e+00,2p,1
512,1,z:ilp,nat-oop,298,333,77.409,1.119,2.310e-16,2p,0
512,1,z:ilp,nat-oop,298,333,77.376,1.119,2.310e-16,2p,1
1024,1,z:ilp,nat-oop,723,803,70.800,1.111,4.013e-16,ztt,0
1024,1,z:ilp,nat-oop,722,802,70.870,1.110,4.013e-16,ztt,1
2048,1,z:ilp,nat-oop,1605,2006,70.175,1.250,3.059e-16,ztt,0
2048,1,z:ilp,nat-oop,1609,1999,70.010,1.242,3.059e-16,ztt,1
4096,1,z:ilp,nat-oop,3559,4727,69.053,1.328,3.902e-16,ztt,0
4096,1,z:ilp,nat-oop,3561,4729,69.021,1.328,3.902e-16,ztt,1
8192,1,z:ilp,nat-oop,11128,10626,47.849,0.955,4.111e-16,ztt,0
8192,1,z:ilp,nat-oop,7986,10621,66.680,1.330,4.111e-16,ztt,1
16384,1,z:ilp,nat-oop,17695,24509,64.813,1.385,4.532e-16,ztt,0
16384,1,z:ilp,nat-oop,17712,24293,64.751,1.372,4.532e-16,ztt,1
32768,1,z:ilp,nat-oop,38926,48951,63.135,1.258,4.514e-16,ztt,0
32768,1,z:ilp,nat-oop,39221,48689,62.660,1.241,4.514e-16,ztt,1
65536,1,z:ilp,nat-oop,88490,119270,59.248,1.348,4.812e-16,ztt,0
65536,1,z:ilp,nat-oop,91767,119670,57.133,1.304,4.812e-16,ztt,1
131072,1,z:ilp,nat-oop,228667,292347,48.722,1.278,4.644e-16,ztt,0
131072,1,z:ilp,nat-oop,234700,285140,47.470,1.215,4.644e-16,ztt,1
262144,1,z:ilp,nat-oop,617150,635750,38.229,1.030,3.992e-16,ztt,0
262144,1,z:ilp,nat-oop,611325,633837,38.593,1.037,3.992e-16,ztt,1
524288,1,z:ilp,nat-oop,1400938,1512463,35.553,1.080,4.801e-16,fs,0
524288,1,z:ilp,nat-oop,1380375,1533712,36.082,1.111,4.801e-16,fs,1
1048576,1,z:ilp,nat-oop,3443150,4189950,30.454,1.217,6.082e-16,fs,0
1048576,1,z:ilp,nat-oop,3650475,4224000,28.724,1.157,6.082e-16,fs,1
2097152,1,z:ilp,nat-oop,9114262,10743125,24.160,1.179,7.639e-16,fs,0
2097152,1,z:ilp,nat-oop,8626912,10760950,25.525,1.247,7.639e-16,fs,1
4194304,1,z:ilp,nat-oop,20587337,26501575,22.411,1.287,9.276e-16,fs,0
4194304,1,z:ilp,nat-oop,20728862,26489363,22.258,1.278,9.276e-16,fs,1
