N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
4,4096,z:il2d,nat-oop,11452,16584,100.143,1.448,3.149e-16,chain,2479,0
4,4096,z:il2d,nat-oop,10904,16104,105.179,1.477,3.149e-16,csk,1222,1
4,8192,z:il2d,nat-oop,18731,27528,131.204,1.470,3.610e-16,chain,986,0
4,8192,z:il2d,nat-oop,21695,28213,113.279,1.300,3.610e-16,csk,783,1
8,512,z:il2d,nat-oop,2632,3258,93.390,1.238,4.061e-16,chain,6565,0
8,512,z:il2d,nat-oop,2750,3285,89.354,1.194,4.061e-16,chain,5500,1
8,1024,z:il2d,nat-oop,4467,5196,119.197,1.163,3.823e-16,chain,2936,0
8,1024,z:il2d,nat-oop,4622,5330,115.202,1.153,3.823e-16,csk,2830,1
8,2048,z:il2d,nat-oop,5803,8474,197.626,1.460,3.840e-16,csk,2008,0
8,2048,z:il2d,nat-oop,5842,8916,196.323,1.526,3.840e-16,csk,1798,1
8,4096,z:il2d,nat-oop,10616,13780,231.491,1.298,4.077e-16,csk,881,0
8,4096,z:il2d,nat-oop,11233,14895,218.788,1.326,4.077e-16,csk,680,1
8,8192,z:il2d,nat-oop,16883,20333,310.536,1.204,5.210e-16,csk,557,0
8,8192,z:il2d,nat-oop,16303,20263,321.583,1.243,5.210e-16,csk,522,1
16,16,z:il2d,nat-oop,164,145,62.534,0.886,2.481e-16,chain+rb2,0,0
16,16,z:il2d,nat-oop,237,153,43.165,0.644,2.481e-16,csk,0,1
16,128,z:il2d,nat-oop,1668,1912,67.541,1.147,3.087e-16,csk,15160,0
16,128,z:il2d,nat-oop,1432,1887,78.639,1.318,3.087e-16,csk,9762,1
16,256,z:il2d,nat-oop,2258,3209,108.850,1.421,2.832e-16,csk+rb2,9412,0
16,256,z:il2d,nat-oop,2288,3182,107.407,1.391,2.832e-16,csk+rb2,5333,1
16,512,z:il2d,nat-oop,3927,4701,135.607,1.197,4.179e-16,csk,3938,0
16,512,z:il2d,nat-oop,4427,4891,120.290,1.105,4.179e-16,csk,2481,1
16,1024,z:il2d,nat-oop,7354,8244,155.951,1.121,3.665e-16,chain,2663,0
16,1024,z:il2d,nat-oop,7269,8204,157.780,1.129,3.665e-16,chain,1529,1
16,2048,z:il2d,nat-oop,12823,16052,191.656,1.252,3.678e-16,csk,1038,0
16,2048,z:il2d,nat-oop,14287,15857,172.018,1.110,3.678e-16,chain,622,1
16,4096,z:il2d,nat-oop,30953,21893,169.380,0.707,2.885e-16,chain,302,0
16,4096,z:il2d,nat-oop,15590,22063,336.298,1.415,2.885e-16,csk,547,1
16,8192,z:il2d,nat-oop,31480,44133,353.911,1.402,4.216e-16,csk,582,0
16,8192,z:il2d,nat-oop,31320,43880,355.719,1.401,4.216e-16,csk,283,1
32,16,z:il2d,nat-oop,350,342,65.920,0.978,2.337e-16,chain+rb2,0,0
32,16,z:il2d,nat-oop,525,340,43.923,0.647,2.337e-16,turn,0,1
32,32,z:il2d,nat-oop,728,719,70.291,0.987,2.408e-16,chain+rb2,0,0
32,32,z:il2d,nat-oop,748,718,68.470,0.960,2.408e-16,chain+rb2,0,1
32,64,z:il2d,nat-oop,1462,2202,77.030,1.506,2.680e-16,chain+rb2,12339,0
32,64,z:il2d,nat-oop,1486,2325,75.797,1.565,2.680e-16,chain+rb2,9762,1
32,128,z:il2d,nat-oop,2479,3112,99.149,1.256,3.011e-16,chain,6742,0
32,128,z:il2d,nat-oop,2597,2999,94.635,1.155,3.011e-16,chain,6153,1
32,256,z:il2d,nat-oop,4285,5321,124.259,1.242,4.621e-16,csk+rb2,3817,0
32,256,z:il2d,nat-oop,4231,5322,125.860,1.258,4.621e-16,csk,3013,1
32,512,z:il2d,nat-oop,9019,10020,127.165,1.111,3.695e-16,chain,2506,0
32,512,z:il2d,nat-oop,7592,10245,151.068,1.349,3.695e-16,csk,1404,1
32,1024,z:il2d,nat-oop,12985,17654,189.261,1.360,3.535e-16,chain,1054,0
32,1024,z:il2d,nat-oop,13046,17184,188.381,1.317,3.535e-16,csk,868,1
32,2048,z:il2d,nat-oop,19233,23767,272.593,1.236,3.567e-16,chain,696,0
32,2048,z:il2d,nat-oop,16770,24867,312.635,1.483,4.428e-16,csk,439,1
64,32,z:il2d,nat-oop,1805,1857,62.411,1.029,2.978e-16,chain+rb2,12427,0
64,32,z:il2d,nat-oop,1578,1847,71.364,1.170,2.978e-16,chain+rb2,12680,1
64,64,z:il2d,nat-oop,2633,3793,93.324,1.440,3.838e-16,chain+rb2,6491,0
64,64,z:il2d,nat-oop,2383,3825,103.149,1.606,3.838e-16,chain+rb2,5656,1
64,128,z:il2d,nat-oop,4120,4710,129.240,1.143,5.219e-16,csk,3516,0
64,128,z:il2d,nat-oop,4080,4891,130.499,1.199,5.219e-16,csk,3480,1
64,256,z:il2d,nat-oop,8188,11614,140.073,1.418,5.095e-16,csk+rb2,2131,0
64,256,z:il2d,nat-oop,8408,10992,136.400,1.307,5.095e-16,csk+rb2,1600,1
64,512,z:il2d,nat-oop,12543,18257,195.940,1.456,4.384e-16,csk,1546,0
64,512,z:il2d,nat-oop,13208,18508,186.066,1.401,4.384e-16,csk,688,1
64,1024,z:il2d,nat-oop,20053,29563,261.447,1.474,4.851e-16,csk,536,0
64,1024,z:il2d,nat-oop,20040,30737,261.621,1.534,4.851e-16,csk,518,1
128,32,z:il2d,nat-oop,2710,3118,90.678,1.150,3.079e-16,chain+rb2,6669,0
128,32,z:il2d,nat-oop,3056,2854,80.431,0.934,3.079e-16,chain+rb2,6232,1
128,64,z:il2d,nat-oop,5612,4957,94.884,0.883,4.291e-16,turn,3198,0
128,64,z:il2d,nat-oop,5800,4941,91.800,0.852,4.291e-16,turn,3072,1
128,128,z:il2d,nat-oop,15430,12179,74.330,0.789,3.368e-16,chain,1406,0
128,128,z:il2d,nat-oop,15116,12368,75.870,0.818,3.368e-16,chain,1385,1
128,256,z:il2d,nat-oop,25672,15338,95.730,0.597,3.960e-16,chain+rb2,1096,0
128,256,z:il2d,nat-oop,25897,14580,94.900,0.563,3.960e-16,chain+rb2,768,1
128,512,z:il2d,nat-oop,40763,27853,128.618,0.683,3.227e-16,chain,380,0
128,512,z:il2d,nat-oop,35190,28407,148.988,0.807,3.227e-16,chain,440,1
128,2048,z:il2d,nat-oop,84263,92738,279.994,1.101,5.797e-16,chain,174,0
128,2048,z:il2d,nat-oop,88612,86738,266.249,0.979,5.797e-16,chain,125,1
128,8192,z:il2d,nat-oop,355350,466288,295.083,1.312,1.316e-15,chain,91,0
128,8192,z:il2d,nat-oop,340388,430263,308.054,1.264,1.316e-15,chain,97,1
256,16,z:il2d,nat-oop,2668,4896,92.120,1.835,4.090e-16,chain+rb2,6572,0
256,16,z:il2d,nat-oop,2790,4535,88.081,1.625,4.090e-16,chain+rb2,5786,1
256,32,z:il2d,nat-oop,6598,5757,80.704,0.872,2.588e-16,chain,3774,0
256,32,z:il2d,nat-oop,6993,5468,76.144,0.782,2.588e-16,chain+rb2,3543,1
256,64,z:il2d,nat-oop,15002,14286,76.446,0.952,3.848e-16,chain+rb2,1496,0
256,64,z:il2d,nat-oop,15281,14864,75.052,0.973,3.848e-16,chain+rb2,1421,1
256,128,z:il2d,nat-oop,27608,17943,89.017,0.650,3.796e-16,chain,946,0
