N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
16,16,z:il2d,nat-oop,158,146,64.818,0.923,2.481e-16,csk+rb2,0,0
16,16,z:il2d,nat-oop,158,145,64.655,0.916,2.481e-16,csk+rb2,0,1
32,16,z:il2d,nat-oop,359,342,64.246,0.953,2.532e-16,chain+rb2,0,0
32,16,z:il2d,nat-oop,355,339,64.821,0.953,2.532e-16,chain+rb2,0,1
32,32,z:il2d,nat-oop,724,717,70.765,0.991,2.408e-16,chain+rb2,0,0
32,32,z:il2d,nat-oop,736,718,69.606,0.976,2.408e-16,chain+rb2,0,1
128,64,z:il2d,nat-oop,5762,4993,92.408,0.867,4.291e-16,turn,3146,0
128,64,z:il2d,nat-oop,5877,4992,90.603,0.849,4.291e-16,turn,2761,1
128,128,z:il2d,nat-oop,15176,12245,75.571,0.807,3.849e-16,chain,1521,0
128,128,z:il2d,nat-oop,19198,12320,59.738,0.642,3.849e-16,chain,1501,1
128,256,z:il2d,nat-oop,29741,15080,82.633,0.507,3.960e-16,chain+rb2,770,0
128,256,z:il2d,nat-oop,32326,14825,76.025,0.459,3.960e-16,chain+rb2,838,1
128,512,z:il2d,nat-oop,59410,27060,88.249,0.455,3.177e-16,chain,383,0
128,512,z:il2d,nat-oop,66223,26543,79.170,0.401,3.177e-16,chain,302,1
256,32,z:il2d,nat-oop,5974,5772,89.136,0.966,3.654e-16,turn,3116,0
256,32,z:il2d,nat-oop,5914,5887,90.044,0.996,3.654e-16,turn,2806,1
256,64,z:il2d,nat-oop,14656,13996,78.255,0.955,4.810e-16,turn,1548,0
256,64,z:il2d,nat-oop,13545,14815,84.671,1.094,4.810e-16,turn,1403,1
256,128,z:il2d,nat-oop,42826,18010,57.385,0.421,3.796e-16,chain,721,0
256,128,z:il2d,nat-oop,48707,18361,50.457,0.377,3.796e-16,chain,645,1
256,256,z:il2d,nat-oop,55240,33880,94.911,0.613,4.142e-16,chain+rb2,380,0
256,256,z:il2d,nat-oop,64903,32480,80.780,0.500,4.142e-16,chain+rb2,330,1
256,8192,z:il2d,nat-oop,1722162,1392200,127.863,0.808,1.499e-15,chain,82,0
256,8192,z:il2d,nat-oop,1399737,2549563,157.316,1.821,1.499e-15,chain,82,1
512,64,z:il2d,nat-oop,23859,18725,103.005,0.785,4.886e-16,turn,793,0
512,64,z:il2d,nat-oop,21882,19489,112.312,0.891,4.886e-16,turn,721,1
512,128,z:il2d,nat-oop,57063,33327,91.878,0.584,3.504e-16,chain,442,0
512,128,z:il2d,nat-oop,67647,33227,77.504,0.491,3.504e-16,chain,405,1
1024,64,z:il2d,nat-oop,34390,33927,152.454,0.987,4.602e-16,turn,409,0
1024,64,z:il2d,nat-oop,34480,33140,152.056,0.961,4.602e-16,turn,338,1
2048,2048,z:il2d,nat-oop,7144225,6229075,64.580,0.872,3.053e-15,chain,82,0
2048,2048,z:il2d,nat-oop,7321287,6064537,63.018,0.828,3.053e-15,chain,83,1
4096,128,z:il2d,nat-oop,302300,280587,164.761,0.928,1.190e-15,chain,113,0
4096,128,z:il2d,nat-oop,359538,284900,138.532,0.792,1.190e-15,chain,97,1
4096,256,z:il2d,nat-oop,709275,673400,147.838,0.949,1.312e-15,chain+rb2,82,0
4096,256,z:il2d,nat-oop,724400,645550,144.751,0.891,1.312e-15,chain+rb2,83,1
4096,1024,z:il2d,nat-oop,6932538,13059738,66.552,1.884,3.061e-15,chain,82,0
4096,1024,z:il2d,nat-oop,6426525,7055300,71.792,1.098,3.061e-15,chain,82,1
8192,128,z:il2d,nat-oop,990388,743863,105.875,0.751,1.236e-15,chain,86,0
8192,128,z:il2d,nat-oop,921362,752725,113.807,0.817,1.236e-15,chain,82,1
8192,256,z:il2d,nat-oop,3154937,2336950,69.796,0.741,1.552e-15,chain,82,0
8192,256,z:il2d,nat-oop,3400375,2414925,64.758,0.710,1.552e-15,chain,82,1
8192,512,z:il2d,nat-oop,6641300,7632812,69.470,1.149,3.001e-15,chain,82,0
8192,512,z:il2d,nat-oop,6909312,7605325,66.776,1.101,3.001e-15,chain,82,1
