N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
16,16,z:il2d,nat-oop,166,145,61.635,0.872,2.481e-16,chain+rb2,0,0
16,16,z:il2d,nat-oop,159,145,64.598,0.918,2.481e-16,csk+rb2,0,1
32,16,z:il2d,nat-oop,358,339,64.283,0.947,2.337e-16,chain+rb2,0,0
32,16,z:il2d,nat-oop,504,341,45.691,0.676,2.337e-16,turn,0,1
32,32,z:il2d,nat-oop,726,717,70.520,0.988,2.408e-16,chain+rb2,0,0
32,32,z:il2d,nat-oop,828,721,61.860,0.871,2.408e-16,chain+rb2,0,1
128,64,z:il2d,nat-oop,5926,5245,89.851,0.885,4.291e-16,turn,3647,0
128,64,z:il2d,nat-oop,6370,5051,83.585,0.793,4.291e-16,turn,3057,1
128,128,z:il2d,nat-oop,17847,13198,64.263,0.739,3.849e-16,chain,1455,0
128,128,z:il2d,nat-oop,18514,11961,61.947,0.646,3.849e-16,chain,1423,1
128,256,z:il2d,nat-oop,25433,15200,96.631,0.598,3.960e-16,chain+rb2,768,0
128,256,z:il2d,nat-oop,26966,14567,91.138,0.540,3.960e-16,chain+rb2,733,1
128,512,z:il2d,nat-oop,42883,28363,122.259,0.661,3.177e-16,chain,340,0
128,512,z:il2d,nat-oop,39603,28333,132.385,0.715,3.177e-16,chain,410,1
256,32,z:il2d,nat-oop,5978,5484,89.069,0.917,3.654e-16,turn,3072,0
256,32,z:il2d,nat-oop,6067,5738,87.764,0.946,3.654e-16,turn,2786,1
256,64,z:il2d,nat-oop,13314,14461,86.141,1.086,4.810e-16,turn,1222,0
256,64,z:il2d,nat-oop,14766,14440,77.673,0.978,4.810e-16,turn,1689,1
256,128,z:il2d,nat-oop,26911,18754,91.322,0.697,3.796e-16,chain,771,0
256,128,z:il2d,nat-oop,28407,18625,86.515,0.656,3.796e-16,chain,751,1
256,256,z:il2d,nat-oop,35260,31297,148.692,0.888,4.142e-16,chain+rb2,642,0
256,256,z:il2d,nat-oop,35663,30907,147.010,0.867,4.142e-16,chain+rb2,337,1
256,8192,z:il2d,nat-oop,1281050,1446325,171.891,1.129,1.499e-15,chain,84,0
256,8192,z:il2d,nat-oop,1348075,1411688,163.345,1.047,1.499e-15,chain,87,1
512,64,z:il2d,nat-oop,20838,18710,117.940,0.898,4.886e-16,turn,800,0
512,64,z:il2d,nat-oop,22507,19170,109.195,0.852,4.886e-16,turn,694,1
512,128,z:il2d,nat-oop,36587,32923,143.300,0.900,3.504e-16,chain,390,0
512,128,z:il2d,nat-oop,38257,32917,137.045,0.860,3.504e-16,chain,378,1
1024,64,z:il2d,nat-oop,32983,33000,158.955,1.001,4.602e-16,turn,577,0
1024,64,z:il2d,nat-oop,36160,33393,144.991,0.923,4.602e-16,turn,403,1
2048,2048,z:il2d,nat-oop,5571338,5895938,82.812,1.058,3.138e-15,chain,83,0
2048,2048,z:il2d,nat-oop,5790437,5834937,79.679,1.008,3.138e-15,chain,82,1
4096,128,z:il2d,nat-oop,278600,289712,178.777,1.040,1.190e-15,chain,133,0
4096,128,z:il2d,nat-oop,283450,284188,175.718,1.003,1.190e-15,chain,96,1
4096,256,z:il2d,nat-oop,650650,632750,161.158,0.972,1.312e-15,chain+rb2,87,0
4096,256,z:il2d,nat-oop,655300,628175,160.015,0.959,1.312e-15,chain+rb2,87,1
4096,1024,z:il2d,nat-oop,6167850,6524800,74.803,1.058,3.061e-15,chain,82,0
4096,1024,z:il2d,nat-oop,6195187,7170863,74.473,1.157,3.061e-15,chain,82,1
8192,128,z:il2d,nat-oop,890237,713937,117.786,0.802,1.082e-15,chain,90,0
8192,128,z:il2d,nat-oop,1101800,712350,95.169,0.647,1.082e-15,chain,88,1
8192,256,z:il2d,nat-oop,3324662,2611275,66.233,0.785,1.185e-15,chain+rb2,83,0
8192,256,z:il2d,nat-oop,2986613,2852100,73.729,0.955,1.185e-15,chain+rb2,85,1
8192,512,z:il2d,nat-oop,8209438,7891388,56.200,0.961,2.938e-15,chain,82,0
8192,512,z:il2d,nat-oop,8035850,7975487,57.414,0.992,2.938e-15,chain,82,1
