library,N,l2_error,max_error,rt_error
VectorFFT,2,3.292e-20,3.982e-20,0.000e+00
MKL,2,3.292e-20,3.982e-20,0.000e+00
VectorFFT,3,1.668e-16,1.784e-16,3.037e-16
MKL,3,6.983e-17,5.270e-17,2.170e-16
VectorFFT,4,3.553e-17,5.992e-17,5.679e-17
MKL,4,3.553e-17,5.992e-17,5.679e-17
VectorFFT,5,1.527e-16,2.037e-16,2.270e-16
MKL,5,1.320e-16,1.339e-16,2.270e-16
VectorFFT,6,2.020e-16,2.759e-16,2.116e-16
MKL,6,6.233e-17,8.103e-17,1.896e-16
VectorFFT,7,1.596e-16,1.620e-16,2.244e-16
MKL,7,1.330e-16,1.528e-16,3.094e-16
VectorFFT,8,9.060e-17,9.773e-17,2.242e-16
MKL,8,8.881e-17,9.881e-17,1.681e-16
VectorFFT,9,2.546e-16,2.310e-16,3.122e-16
MKL,9,9.017e-17,1.167e-16,2.063e-16
VectorFFT,10,1.820e-16,1.802e-16,3.878e-16
MKL,10,1.168e-16,1.263e-16,2.965e-16
VectorFFT,11,2.073e-16,2.150e-16,4.203e-16
MKL,11,1.250e-16,1.359e-16,1.914e-16
VectorFFT,12,2.369e-16,3.101e-16,3.535e-16
MKL,12,1.147e-16,1.645e-16,2.086e-16
VectorFFT,13,3.166e-16,4.517e-16,3.802e-16
MKL,13,1.348e-16,1.345e-16,2.786e-16
VectorFFT,14,1.539e-16,2.724e-16,3.102e-16
MKL,14,1.493e-16,1.539e-16,3.314e-16
VectorFFT,15,2.632e-16,3.656e-16,4.772e-16
MKL,15,1.524e-16,1.512e-16,2.844e-16
VectorFFT,16,8.321e-17,7.447e-17,2.278e-16
MKL,16,8.594e-17,7.005e-17,2.278e-16
VectorFFT,17,3.247e-16,3.185e-16,4.894e-16
MKL,17,1.776e-16,2.080e-16,2.147e-16
VectorFFT,18,2.918e-16,2.726e-16,6.443e-16
MKL,18,1.687e-16,2.788e-16,3.817e-16
VectorFFT,19,2.674e-16,2.991e-16,5.288e-16
MKL,19,2.247e-16,1.959e-16,3.532e-16
VectorFFT,20,1.526e-16,1.328e-16,3.481e-16
MKL,20,1.621e-16,1.459e-16,3.088e-16
VectorFFT,21,2.279e-16,1.842e-16,4.171e-16
MKL,21,1.339e-16,1.122e-16,4.100e-16
VectorFFT,22,2.457e-16,3.376e-16,4.706e-16
