library,N,l2_error,max_error,rt_error
VectorFFT,2x64,1.564e-16,1.419e-16,3.338e-16
MKL,2x64,1.780e-16,1.789e-16,5.564e-16
VectorFFT,2x128,1.712e-16,1.818e-16,7.231e-16
MKL,2x128,1.865e-16,1.723e-16,4.450e-16
VectorFFT,2x256,1.766e-16,2.605e-16,6.675e-16
MKL,2x256,2.151e-16,2.797e-16,6.119e-16
VectorFFT,2x512,1.971e-16,2.200e-16,6.670e-16
MKL,2x512,2.371e-16,2.897e-16,1.000e-15
VectorFFT,3x64,2.119e-16,2.376e-16,5.154e-16
MKL,3x64,1.705e-16,2.596e-16,5.075e-16
VectorFFT,3x128,2.210e-16,2.606e-16,6.863e-16
MKL,3x128,1.999e-16,2.848e-16,7.212e-16
VectorFFT,3x256,2.404e-16,2.099e-16,7.818e-16
MKL,3x256,2.296e-16,3.056e-16,7.503e-16
VectorFFT,3x512,2.536e-16,2.821e-16,8.411e-16
MKL,3x512,2.552e-16,2.712e-16,8.976e-16
VectorFFT,5x64,1.976e-16,2.110e-16,5.545e-16
MKL,5x64,1.742e-16,1.998e-16,5.359e-16
VectorFFT,5x128,2.153e-16,2.574e-16,7.998e-16
MKL,5x128,2.080e-16,2.471e-16,5.792e-16
VectorFFT,5x256,2.218e-16,2.170e-16,9.127e-16
MKL,5x256,2.283e-16,2.543e-16,7.365e-16
VectorFFT,5x512,2.380e-16,2.865e-16,9.193e-16
MKL,5x512,2.528e-16,3.349e-16,9.343e-16
VectorFFT,6x64,2.493e-16,2.770e-16,7.929e-16
MKL,6x64,1.910e-16,1.943e-16,6.356e-16
VectorFFT,6x128,2.592e-16,3.611e-16,8.380e-16
MKL,6x128,2.133e-16,2.583e-16,7.169e-16
VectorFFT,6x256,2.650e-16,2.813e-16,8.046e-16
MKL,6x256,2.442e-16,2.752e-16,1.089e-15
VectorFFT,6x512,2.807e-16,3.014e-16,1.086e-15
MKL,6x512,2.604e-16,3.235e-16,1.016e-15
VectorFFT,7x64,1.978e-16,2.186e-16,5.676e-16
MKL,7x64,1.861e-16,1.940e-16,5.720e-16
VectorFFT,7x128,2.163e-16,1.949e-16,6.038e-16
MKL,7x128,2.107e-16,2.362e-16,6.883e-16
VectorFFT,7x256,2.239e-16,2.533e-16,7.092e-16
MKL,7x256,2.264e-16,2.576e-16,1.029e-15
VectorFFT,7x512,2.385e-16,2.795e-16,1.101e-15
MKL,7x512,2.561e-16,3.017e-16,1.102e-15
VectorFFT,9x64,3.048e-16,4.062e-16,7.939e-16
MKL,9x64,1.981e-16,2.144e-16,6.944e-16
VectorFFT,9x128,3.106e-16,4.053e-16,7.987e-16
MKL,9x128,2.319e-16,2.858e-16,7.806e-16
VectorFFT,9x256,3.213e-16,3.341e-16,9.784e-16
MKL,9x256,2.652e-16,3.405e-16,9.353e-16
VectorFFT,9x512,3.254e-16,3.737e-16,9.973e-16
MKL,9x512,2.934e-16,3.973e-16,1.326e-15
VectorFFT,10x64,2.173e-16,2.608e-16,6.147e-16
MKL,10x64,1.849e-16,1.908e-16,6.236e-16
VectorFFT,10x128,2.279e-16,2.607e-16,7.557e-16
MKL,10x128,2.133e-16,2.154e-16,7.447e-16
VectorFFT,10x256,2.365e-16,2.359e-16,9.283e-16
MKL,10x256,2.294e-16,2.538e-16,7.045e-16
VectorFFT,10x512,2.529e-16,2.467e-16,1.015e-15
MKL,10x512,2.576e-16,3.000e-16,9.243e-16
VectorFFT,11x64,2.440e-16,3.079e-16,8.474e-16
MKL,11x64,1.998e-16,2.323e-16,7.114e-16
VectorFFT,11x128,2.507e-16,2.893e-16,9.201e-16
MKL,11x128,2.118e-16,2.530e-16,6.415e-16
VectorFFT,11x256,2.660e-16,3.305e-16,8.125e-16
MKL,11x256,2.358e-16,2.745e-16,9.237e-16
VectorFFT,11x512,2.740e-16,2.747e-16,1.005e-15
MKL,11x512,2.602e-16,3.149e-16,9.838e-16
VectorFFT,12x64,2.807e-16,2.948e-16,8.635e-16
MKL,12x64,1.813e-16,1.831e-16,5.858e-16
VectorFFT,12x128,2.991e-16,3.469e-16,9.998e-16
MKL,12x128,2.245e-16,2.894e-16,9.411e-16
VectorFFT,12x256,2.910e-16,4.470e-16,9.238e-16
MKL,12x256,2.375e-16,3.179e-16,1.046e-15
VectorFFT,12x512,3.082e-16,3.698e-16,1.014e-15
MKL,12x512,2.654e-16,3.525e-16,1.202e-15
VectorFFT,13x64,3.456e-16,4.592e-16,1.038e-15
MKL,13x64,3.927e-16,3.500e-16,1.285e-15
VectorFFT,13x128,3.641e-16,5.494e-16,1.194e-15
MKL,13x128,4.610e-16,4.623e-16,1.603e-15
VectorFFT,13x256,3.690e-16,4.005e-16,1.546e-15
MKL,13x256,4.666e-16,4.196e-16,1.858e-15
VectorFFT,13x512,3.694e-16,4.914e-16,1.326e-15
MKL,13x512,4.941e-16,4.721e-16,1.945e-15
VectorFFT,14x64,2.235e-16,2.164e-16,6.705e-16
MKL,14x64,1.839e-16,1.868e-16,5.811e-16
VectorFFT,14x128,2.370e-16,2.384e-16,7.144e-16
MKL,14x128,2.151e-16,2.356e-16,8.086e-16
VectorFFT,14x256,2.301e-16,2.684e-16,8.289e-16
MKL,14x256,2.366e-16,3.199e-16,9.437e-16
VectorFFT,14x512,2.455e-16,2.677e-16,8.882e-16
MKL,14x512,2.616e-16,3.216e-16,1.069e-15
VectorFFT,15x64,2.688e-16,2.759e-16,8.451e-16
MKL,15x64,1.989e-16,1.973e-16,6.406e-16
VectorFFT,15x128,2.727e-16,3.265e-16,7.953e-16
MKL,15x128,2.246e-16,2.817e-16,7.789e-16
VectorFFT,15x256,2.830e-16,3.457e-16,9.495e-16
MKL,15x256,2.534e-16,3.178e-16,9.065e-16
VectorFFT,15x512,2.927e-16,3.493e-16,1.329e-15
MKL,15x512,2.750e-16,3.297e-16,1.018e-15
VectorFFT,17x64,3.896e-16,4.087e-16,1.128e-15
MKL,17x64,2.875e-16,3.009e-16,9.744e-16
VectorFFT,17x128,4.077e-16,4.919e-16,1.100e-15
