library,N,l2_error,max_error,rt_error
VectorFFT,2x8192,2.380e-16,3.200e-16,8.882e-16
MKL,2x8192,2.603e-16,2.758e-16,1.110e-15
VectorFFT,8x8,1.395e-16,1.373e-16,4.479e-16
MKL,8x8,1.218e-16,1.380e-16,4.479e-16
VectorFFT,8x2048,2.379e-16,2.702e-16,8.882e-16
MKL,8x2048,2.399e-16,2.285e-16,7.772e-16
VectorFFT,16x16,1.625e-16,1.890e-16,4.443e-16
MKL,16x16,1.575e-16,2.132e-16,3.888e-16
VectorFFT,16x4096,2.665e-16,3.035e-16,1.110e-15
MKL,16x4096,2.536e-16,2.886e-16,9.992e-16
VectorFFT,32x32,1.967e-16,2.076e-16,5.559e-16
MKL,32x32,1.859e-16,1.615e-16,6.670e-16
VectorFFT,32x64,2.270e-16,3.561e-16,7.772e-16
MKL,32x64,1.934e-16,2.252e-16,7.772e-16
VectorFFT,64x64,2.203e-16,3.093e-16,7.772e-16
MKL,64x64,2.117e-16,2.380e-16,7.772e-16
VectorFFT,64x1024,2.549e-16,2.927e-16,1.027e-15
MKL,64x1024,2.348e-16,2.602e-16,9.992e-16
VectorFFT,128x16,2.128e-16,2.989e-16,7.772e-16
MKL,128x16,2.029e-16,2.813e-16,6.662e-16
VectorFFT,128x128,2.313e-16,2.874e-16,9.992e-16
MKL,128x128,2.340e-16,2.834e-16,8.882e-16
VectorFFT,256x256,2.495e-16,2.956e-16,1.110e-15
MKL,256x256,2.449e-16,2.667e-16,9.992e-16
VectorFFT,512x512,2.790e-16,4.893e-16,1.443e-15
MKL,512x512,2.580e-16,2.926e-16,1.110e-15
VectorFFT,1024x64,2.629e-16,2.767e-16,1.110e-15
MKL,1024x64,2.467e-16,2.722e-16,8.882e-16
VectorFFT,1024x1024,2.952e-16,1.250e-15,1.332e-15
MKL,1024x1024,2.699e-16,3.194e-16,1.221e-15
VectorFFT,2048x8,2.390e-16,2.449e-16,9.992e-16
MKL,2048x8,2.409e-16,2.480e-16,8.882e-16
VectorFFT,4096x16,2.578e-16,3.707e-16,9.992e-16
MKL,4096x16,2.480e-16,2.972e-16,9.992e-16
VectorFFT,4096x4096,3.376e-16,2.612e-15,1.665e-15
MKL,4096x4096,3.122e-16,7.677e-16,1.554e-15
VectorFFT,8192x2,2.404e-16,2.423e-16,8.882e-16
MKL,8192x2,2.621e-16,2.865e-16,9.992e-16
