N,K,factors,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
131072,4,4x4x4x32x64,baked,1650938,2114338,26.993,1.281,2.515e-14
1024,128,4x4x4x4x4,baked,132527,274153,49.451,2.069,6.709e-16
8,4,8,baked,6,98,76.314,15.561,4.503e-15
16,4,16,baked,14,119,92.430,8.626,4.750e-15
32,4,32,baked,44,180,72.635,4.078,1.121e-14
64,4,64,baked,102,320,75.386,3.143,1.250e-14
128,4,16x8,JIT,224,647,79.895,2.886,9.412e-15
256,4,32x8,JIT,643,1228,63.737,1.912,1.395e-14
512,4,32x16,JIT,1673,3174,55.082,1.897,1.314e-14
1024,4,4x16x16,JIT,3199,7551,64.020,2.361,1.209e-14
2048,4,8x16x16,JIT,11415,16611,39.472,1.455,1.511e-14
4096,4,8x8x8x8,JIT,28879,35108,34.040,1.216,1.856e-14
8192,4,8x8x8x16,JIT,70525,73484,30.220,1.046,2.101e-14
16384,4,8x8x16x16,JIT,136363,161793,33.642,1.186,2.088e-14
32768,4,4x4x4x16x32,JIT,265600,367060,37.012,1.382,1.670e-14
65536,4,4x4x64x4x16,JIT,764888,939575,27.418,1.228,2.127e-14
# 8192/4 row = mean of 10 high-rep (VFFT_REPS=2000) isolated runs (ratio 0.96-1.15, mean 1.046); single-run was noisy at the 512KB L2 edge. Other rows = single isolated run.
