@vw2 1.2
@legend signpost: a verdict references its component recipe (ref=), never copies it
@legend q-vs-ran: q= is the REQUESTED quantity; ran= is the EXECUTED batch of the timing run
@legend metric: ns= is comparable only within identical metric= and units=; absent ns = informational
@legend lay: lay=split|il keys the CALLER's data layout (v1.2) - layout is a caller declaration like place=, never a strategy output; absent = pre-1.2 record, served to concrete-lay requests only as the fallback tier
@legend wildcards: q=*/ord=*/place=* are migration-vintage only (from= required); fresh banks stamp concrete axes
@legend role: role=comp marks an engine-internal COMPONENT recipe; absent = the problem verdict at that key (equality-matched)
@legend evolution: new fields/axes land here as additive minor versions, never in frozen legacy files; reserved: sp_kv
@legend see src/core/wisdom2/README.md
@cell t=r2c n=16384 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=10980.0 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=16384 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=10566.7 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=16384 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=13633.3 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=16384 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=12066.7 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=32768 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=23166.7 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=32768 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=22950.0 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=32768 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=28100.0 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=32768 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=25300.0 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=65536 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=53850.0 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=65536 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=50050.0 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=65536 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=migrated from=legacy_oop_wisdom.txt:111
@cell t=c2r n=65536 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=54250.0 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=256 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=145.5 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=256 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=160.9 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=256 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=150.0 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=256 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=142.2 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=512 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=race ns=271.7 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=512 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=234.4 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=512 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=319.2 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=512 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=318.8 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=1024 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=526.3 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=1024 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=431.2 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=1024 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=migrated from=legacy_oop_wisdom.txt:114
@cell t=c2r n=1024 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=550.0 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=2048 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=1088.2 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=2048 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=1081.8 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=2048 q=1 ord=nat place=oop | eng=zr2c route=child_nat_ip | ran=1 src=race ns=1305.3 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=2048 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=1182.6 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=4096 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=2490.0 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=4096 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=2388.9 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=4096 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=2980.0 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=4096 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=2618.8 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=8192 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=5175.0 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=8192 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=5150.0 metric=fwd1 units=ns date=2026-08-22
@cell t=c2r n=8192 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=6271.4 metric=bwd1 units=ns date=2026-08-22
@cell t=c2r n=8192 q=1 ord=nat place=ip | eng=zr2c route=child_nat_ip | ran=1 src=race ns=5612.5 metric=bwd1 units=ns date=2026-08-22
@cell t=r2c n=510 q=1 ord=nat place=oop | eng=zr2c route=child_oop_il | ran=1 src=race ns=368.8 metric=fwd1 units=ns date=2026-08-22
@cell t=r2c n=256 q=8 ord=scr place=ip | eng=stride chain=8.32 vars=log3.flat dif=0 | ran=8 ns=853.07 metric=fwd1 units=ns src=migrated from=rfft_wisdom.txt:5
@cell t=r2c n=512 q=8 ord=scr place=ip | eng=stride chain=16.32 vars=flat.flat dif=0 | ran=8 ns=2555.12 metric=fwd1 units=ns src=migrated from=rfft_wisdom.txt:6
@cell t=r2c n=1024 q=8 ord=scr place=ip | eng=stride chain=4.8.32 vars=t1s.log3.flat dif=0 | ran=8 ns=7263.52 metric=fwd1 units=ns src=migrated from=rfft_wisdom.txt:7
@cell t=r2c n=256 q=16 ord=scr place=ip | eng=stride chain=8.32 vars=t1s.flat dif=0 | ran=16 ns=2170.29 metric=fwd1 units=ns src=migrated from=rfft_wisdom.txt:8
@cell t=r2c n=512 q=1 ord=scr place=ip | eng=stride chain=8.4.4.4 vars=t1s.flat.log3.flat dif=0 | ran=1 ns=841.48 metric=fwd1 units=ns src=migrated from=rfft_wisdom.txt:9
