N,K,orient,factors,vfft_ns,mkl_ns,ratio_mkl_over_vfft,vfft_gflops,mkl_gflops
131072,4,DIT,4x4x4x32x64,1489495.0,2362825.0,1.5863,29.92,18.86
131072,4,DIT,4x4x4x32x64,1430915.0,2256545.0,1.5770,31.14,19.75
131072,4,DIT,4x4x4x4x8x4x4x4,1567630.0,2256695.0,1.4396,28.43,19.75
1024,128,DIT,4x4x4x4x4,118150.0,281395.0,2.3817,55.47,23.29
131072,4,DIT,4x4x4x4x8x4x4x4,2674160.0,2296185.0,0.8587,16.66,19.41
131072,4,DIT,4x4x4x4x8x4x4x4,1556690.0,2292720.0,1.4728,28.63,19.44
1024,128,DIF,4x4x4x4x4,248000.0,290340.0,1.1707,26.43,22.57
16,4,DIT,16,35.2,127.1,3.6102,36.35,10.07
32,4,DIT,32,79.7,187.0,2.3473,40.17,17.11
64,4,DIT,64,256.7,327.5,1.2758,29.92,23.45
256,4,DIT,16x16,621.0,1204.4,1.9394,65.96,34.01
512,4,DIT,16x32,1384.7,3373.4,2.4361,66.55,27.32
1024,4,DIT,64x16,4579.3,7598.2,1.6592,44.72,26.95
128,4,DIT,8x16,284.4,661.9,2.3279,63.02,27.07
8,4,DIT,8,10.9,107.4,9.8184,43.88,4.47
