N,K,orient,factors,vfft_ns,mkl_ns,ratio_mkl_over_vfft,vfft_gflops,mkl_gflops
131072,4,DIT,4x4x4x32x64,1389845.0,2092850.0,1.5058,32.06,21.29
131072,4,DIT,4x4x4x32x64,1394465.0,2249855.0,1.6134,31.96,19.81
131072,4,DIT,4x4x4x4x8x4x4x4,1486190.0,2155645.0,1.4505,29.99,20.67
131072,4,DIT,4x4x4x4x8x4x4x4,1932520.0,2194775.0,1.1357,23.06,20.30
131072,4,DIT,4x4x4x4x8x4x4x4,1550100.0,2098830.0,1.3540,28.75,21.23
16,4,DIT,16,25.6,127.5,4.9758,49.95,10.04
32,4,DIT,32,89.0,188.5,2.1191,35.97,16.97
64,4,DIT,64,235.4,322.9,1.3715,32.62,23.79
256,4,DIT,16x16,635.8,1255.0,1.9740,64.43,32.64
512,4,DIT,16x32,1328.4,3332.7,2.5088,69.38,27.65
1024,4,DIT,64x16,3962.1,7667.8,1.9353,51.69,26.71
128,4,DIT,8x16,281.7,679.7,2.4131,63.62,26.37
8,4,DIT,8,10.9,104.5,9.6060,44.13,4.59
