
=== Phase 2: Performance → vfft_perf_1d.csv ===

Verifying wisdom → plan factorizations:
  N=8      K=4     wis=8  plan=8  OK
  N=8      K=32    wis=8  plan=8  OK
  N=8      K=256   wis=8  plan=8  OK
  N=16     K=4     wis=16  plan=16  OK
  N=16     K=32    wis=16  plan=16  OK
  N=16     K=256   wis=16  plan=16  OK
  N=32     K=4     wis=32  plan=32  OK
  N=32     K=32    wis=32  plan=32  OK
  N=32     K=256   wis=4x8  plan=4x8  OK
  N=64     K=4     wis=64  plan=64  OK
  N=64     K=32    wis=64  plan=64  OK
  N=64     K=256   wis=8x8  plan=8x8  OK
  N=128    K=4     wis=8x16  plan=8x16  OK
  N=128    K=32    wis=32x4  plan=32x4  OK
  N=128    K=256   wis=8x4x4  plan=8x4x4  OK
  N=256    K=4     wis=16x16  plan=16x16  OK
  N=256    K=32    wis=4x8x8  plan=4x8x8  OK
  N=256    K=256   wis=8x4x8  plan=8x4x8  OK
  N=512    K=4     wis=32x16  plan=32x16  OK
  N=512    K=32    wis=4x2x64  plan=4x2x64  OK
  N=512    K=256   wis=4x4x4x8  plan=4x4x4x8  OK
  N=1024   K=4     wis=16x64  plan=16x64  OK
  N=1024   K=32    wis=4x4x16x4  plan=4x4x16x4  OK
  N=1024   K=256   wis=4x4x4x2x8  plan=4x4x4x2x8  OK
  N=2048   K=4     wis=8x16x16  plan=8x16x16  OK
  N=2048   K=32    wis=8x4x64  plan=8x4x64  OK
  N=2048   K=256   wis=4x4x4x4x8  plan=4x4x4x4x8  OK
  N=4096   K=4     wis=4x4x16x16  plan=4x4x16x16  OK
  N=4096   K=32    wis=4x4x4x2x32  plan=4x4x4x2x32  OK
  N=4096   K=256   wis=4x4x2x4x32  plan=4x4x2x4x32  OK
  N=8192   K=4     wis=4x4x32x16  plan=4x4x32x16  OK
  N=8192   K=32    wis=4x4x4x4x32  plan=4x4x4x4x32  OK
  N=8192   K=256   wis=16x4x4x4x8  plan=16x4x4x4x8  OK
  N=16384  K=4     wis=2x8x16x64  plan=2x8x16x64  OK
  N=16384  K=32    wis=4x4x4x2x4x32  plan=4x4x4x2x4x32  OK
  N=16384  K=256   wis=4x2x4x16x32  plan=4x2x4x16x32  OK
  N=32768  K=4     wis=4x4x32x64  plan=4x4x32x64  OK
  N=32768  K=32    wis=16x4x4x4x32  plan=16x4x4x4x32  OK
  N=32768  K=256   wis=16x4x4x4x32  plan=16x4x4x4x32  OK
  N=65536  K=4     wis=32x32x64  plan=32x32x64  OK
  N=65536  K=32    wis=16x4x4x4x64  plan=16x4x4x4x64  OK
  N=65536  K=256   wis=64x32x32  plan=64x32x32  OK
  N=131072 K=4     wis=4x4x4x32x64  plan=4x4x4x32x64  OK
  N=131072 K=32    wis=4x4x4x32x64  plan=4x4x4x32x64  OK
  N=131072 K=256   wis=64x4x4x4x32  plan=64x4x4x4x32  OK
  N=60     K=4     wis=5x12  plan=5x12  OK
  N=60     K=32    wis=12x5  plan=12x5  OK
  N=60     K=256   wis=12x5  plan=12x5  OK
  N=100    K=4     wis=4x25  plan=4x25  OK
  N=100    K=32    wis=20x5  plan=20x5  OK
  N=100    K=256   wis=5x4x5  plan=5x4x5  OK
  N=200    K=4     wis=8x25  plan=8x25  OK
  N=200    K=32    wis=8x5x5  plan=8x5x5  OK
  N=200    K=256   wis=4x10x5  plan=4x10x5  OK
  N=500    K=4     wis=20x25  plan=20x25  OK
  N=500    K=32    wis=10x10x5  plan=10x10x5  OK
  N=500    K=256   wis=20x5x5  plan=20x5x5  OK
  N=1000   K=4     wis=5x8x25  plan=5x8x25  OK
  N=1000   K=32    wis=10x10x10  plan=10x10x10  OK
  N=1000   K=256   wis=8x5x5x5  plan=8x5x5x5  OK
  N=2000   K=4     wis=5x16x25  plan=5x16x25  OK
  N=2000   K=32    wis=10x8x25  plan=10x8x25  OK
  N=2000   K=256   wis=5x2x8x5x5  plan=5x2x8x5x5  OK
  N=5000   K=4     wis=8x25x25  plan=8x25x25  OK
  N=5000   K=32    wis=10x10x5x10  plan=10x10x5x10  OK
  N=5000   K=256   wis=8x5x5x5x5  plan=8x5x5x5x5  OK
  N=10000  K=4     wis=16x25x25  plan=16x25x25  OK
  N=10000  K=32    wis=16x25x25  plan=16x25x25  OK
  N=10000  K=256   wis=5x5x16x25  plan=5x5x16x25  OK
  N=20000  K=4     wis=32x25x25  plan=32x25x25  OK
  N=20000  K=32    wis=16x2x25x25  plan=16x2x25x25  OK
  N=20000  K=256   wis=5x5x32x25  plan=5x5x32x25  OK
  N=50000  K=4     wis=4x20x25x25  plan=4x20x25x25  OK
  N=50000  K=32    wis=20x20x25x5  plan=20x20x25x5  OK
  N=50000  K=256   wis=5x16x5x5x25  plan=5x16x5x5x25  OK
  N=100000 K=4     wis=16x25x10x25  plan=16x25x10x25  OK
  N=100000 K=32    wis=32x25x25x5  plan=32x25x25x5  OK
  N=100000 K=256   wis=32x5x5x5x25  plan=32x5x5x5x25  OK
