timestamp,N,K,wis_factors,wis_ns,heur_factors,heur_ns,fftw_ns,wis_speedup,heur_speedup
2026-04-03_21:32:25,256,32,4x8x8,5523.0,8x32,7239.3,17122.1,3.10,2.37
2026-04-03_21:32:25,256,256,8x2x16,97200.0,2x4x32,81215.0,134240.0,1.38,1.65
2026-04-03_21:32:25,256,1024,4x4x4x4,413065.0,2x2x2x32,582805.0,679515.0,1.65,1.17
2026-04-03_21:32:25,1024,32,8x16x8,55640.0,32x32,45753.3,71060.0,1.28,1.55
2026-04-03_21:32:25,1024,256,4x4x4x4x4,503965.0,2x4x4x32,565600.0,813750.0,1.61,1.44
2026-04-03_21:32:25,1024,1024,4x4x4x4x4,2306620.0,2x2x2x2x2x32,3451015.0,3486730.0,1.51,1.01
2026-04-03_21:32:25,4096,32,,,,4x32x32,314220.0,520220.0,,1.66
2026-04-03_21:32:25,4096,256,,,,2x4x4x4x32,3051150.0,5214050.0,,1.71
2026-04-03_21:32:25,4096,1024,,,,2x2x2x2x2x2x2x32,20886730.0,31979720.0,,1.53
2026-04-03_21:32:25,16384,32,,,,16x32x32,1776760.0,4983300.0,,2.80
2026-04-03_21:32:25,16384,256,,,,2x4x4x4x4x32,18195210.0,89544075.0,,4.92
2026-04-03_21:32:25,60,32,12x5,709.8,3x20,849.6,3219.8,4.54,3.79
2026-04-03_21:32:25,60,256,12x5,8681.5,3x20,15752.3,28656.9,3.30,1.82
2026-04-03_21:32:25,60,1024,4x3x5,35805.0,3x20,64495.0,117445.0,3.28,1.82
2026-04-03_21:32:25,200,32,10x20,4571.2,8x25,4158.3,12357.1,2.70,2.97
2026-04-03_21:32:25,200,256,8x5x5,31755.0,2x4x25,55035.0,108180.0,3.41,1.97
2026-04-03_21:32:25,200,1024,4x2x5x5,316540.0,2x2x2x25,433435.0,529045.0,1.67,1.22
2026-04-03_21:32:25,1000,32,10x10x10,29267.7,2x20x25,35938.7,71829.0,2.45,2.00
2026-04-03_21:32:25,1000,256,8x5x5x5,379285.0,2x4x5x25,539935.0,893010.0,2.35,1.65
2026-04-03_21:32:25,1000,1024,4x5x5x2x5,2375245.0,2x2x2x5x25,2800080.0,3927740.0,1.65,1.40
2026-04-03_21:32:25,5000,32,,,,8x25x25,302970.0,1134175.0,,3.74
2026-04-03_21:32:25,5000,256,,,,2x4x5x5x25,3914475.0,10173255.0,,2.60
