N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
8,4,small,8,10,96,49.115,5.007,9.809
8,32,small,8,41,333,92.804,11.524,8.053
8,256,small,8,298,2303,102.927,13.340,7.716
16,4,small,16,16,124,79.677,10.335,7.710
16,32,small,16,100,531,102.505,19.287,5.315
16,256,small,16,857,4766,95.570,17.187,5.561
32,4,small,32,36,191,89.645,16.755,5.350
32,32,small,32,250,1047,102.495,24.442,4.193
32,256,small,4x8,3828,11116,53.497,18.425,2.904
64,4,small,64,94,312,81.603,24.605,3.316
64,32,small,64,637,2104,96.454,29.199,3.303
64,256,small,8x8,11918,22862,41.242,21.499,1.918
128,4,small,8x16,303,690,59.237,25.990,2.279
128,32,small,32x4,2357,5754,60.835,24.915,2.442
128,256,small,8x4x4,23236,49348,49.358,23.241,2.124
256,4,pow2,16x16,625,1205,65.545,33.998,1.928
256,32,pow2,4x8x8,6762,12197,48.460,26.866,1.804
256,256,pow2,8x4x8,65467,100407,40.042,26.108,1.534
512,4,pow2,32x16,1374,3266,67.055,28.219,2.376
512,32,pow2,4x2x64,15891,25080,46.396,29.397,1.578
512,256,pow2,4x4x4x8,146725,266135,40.199,22.163,1.814
1024,4,pow2,16x64,3714,7853,55.141,26.080,2.114
1024,32,pow2,4x4x16x4,33656,58513,48.681,28.001,1.739
1024,256,pow2,4x4x4x2x8,457515,695360,28.649,18.850,1.520
2048,4,pow2,8x16x16,8994,16495,50.096,27.314,1.834
2048,32,pow2,8x4x64,98950,132337,36.427,27.237,1.337
2048,256,pow2,4x4x4x4x8,983070,1681005,29.332,17.154,1.710
4096,4,pow2,4x4x16x16,26799,35199,36.682,27.928,1.313
4096,32,pow2,4x4x4x2x32,225220,362855,34.918,21.673,1.611
4096,256,pow2,4x4x2x4x32,2710025,3675265,23.215,17.118,1.356
8192,4,pow2,4x4x32x16,61438,74543,34.668,28.573,1.213
8192,32,pow2,4x4x4x4x32,572540,830220,29.761,20.524,1.450
8192,256,pow2,16x4x4x4x8,6871065,8755660,19.839,15.569,1.274
16384,4,pow2,2x8x16x64,167533,170320,27.383,26.935,1.017
16384,32,pow2,4x4x4x2x4x32,1380265,1836620,26.589,19.982,1.331
16384,256,pow2,4x2x4x16x32,17376265,24093510,16.897,12.186,1.387
32768,4,pow2,4x4x32x64,372160,399150,26.414,24.628,1.073
32768,32,pow2,16x4x4x4x32,3240800,4294175,24.267,18.314,1.325
32768,256,pow2,16x4x4x4x32,37136260,53950310,16.942,11.662,1.453
65536,4,pow2,32x32x64,847475,1010020,24.746,20.763,1.192
65536,32,pow2,16x4x4x4x64,8027985,11842270,20.898,14.167,1.475
65536,256,pow2,64x32x32,116098100,125708250,11.561,10.677,1.083
131072,4,pow2,4x4x4x32x64,1952800,2125905,22.821,20.963,1.089
131072,32,pow2,4x4x4x32x64,19335325,31426765,18.439,11.344,1.625
131072,256,pow2,64x4x4x4x32,229277650,271114070,12.440,10.520,1.182
60,4,composite,5x12,147,589,48.161,12.033,4.002
60,32,composite,12x5,691,3667,82.033,15.465,5.304
60,256,composite,12x5,7865,34195,57.682,13.266,4.348
100,4,composite,4x25,281,846,47.370,15.707,3.016
100,32,composite,20x5,1476,6295,72.006,16.886,4.264
100,256,composite,5x4x5,16358,57046,51.989,14.907,3.487
200,4,composite,8x25,568,1523,53.804,20.075,2.680
200,32,composite,8x5x5,3711,13835,65.921,17.680,3.729
200,256,composite,4x10x5,34121,116013,57.350,16.867,3.400
500,4,composite,20x25,1678,5102,53.435,17.573,3.041
500,32,composite,10x10x5,11889,39940,60.331,17.958,3.360
500,256,composite,20x5x5,113075,401240,50.746,14.301,3.548
1000,4,composite,5x8x25,5243,10238,38.016,19.468,1.953
1000,32,composite,10x10x10,26763,81363,59.580,19.598,3.040
1000,256,composite,8x5x5x5,302260,830760,42.203,15.355,2.748
2000,4,composite,5x16x25,9782,20859,44.841,21.029,2.132
2000,32,composite,10x8x25,63613,165052,55.163,21.260,2.595
2000,256,composite,5x2x8x5x5,842455,1805640,33.322,15.547,2.143
5000,4,composite,8x25x25,28170,61973,43.620,19.828,2.200
5000,32,composite,10x10x5x10,202830,601070,48.465,16.354,2.963
5000,256,composite,8x5x5x5x5,2476640,5892740,31.753,13.345,2.379
10000,4,composite,16x25x25,57390,134039,46.307,19.827,2.336
10000,32,composite,16x25x25,518845,1375365,40.976,15.458,2.651
10000,256,composite,5x5x16x25,7564920,13631440,22.483,12.477,1.802
20000,4,composite,32x25x25,129850,310525,44.013,18.405,2.391
20000,32,composite,16x2x25x25,1251175,3279870,36.542,13.940,2.621
20000,256,composite,5x5x32x25,18007315,36526650,20.312,10.014,2.028
50000,4,composite,4x20x25x25,423460,836665,36.862,18.657,1.976
50000,32,composite,20x20x25x5,3529865,8501055,35.377,14.690,2.408
50000,256,composite,5x16x5x5x25,50390320,99721030,19.826,10.018,1.979
100000,4,composite,16x25x10x25,823760,1920915,40.326,17.293,2.332
100000,32,composite,32x25x25x5,9088170,23764580,29.242,11.183,2.615
100000,256,composite,32x5x5x5x25,100226420,221845600,21.212,9.583,2.213
243,4,prime_pow,3x3x3x3x3,1566,2046,24.588,18.824,1.306
243,32,prime_pow,3x3x3x3x3,6665,18755,46.232,16.428,2.814
243,256,prime_pow,3x3x3x3x3,54122,152556,45.544,16.158,2.819
625,4,prime_pow,25x25,2120,6539,54.759,17.754,3.084
625,32,prime_pow,25x25,15580,52205,59.614,17.791,3.351
625,256,prime_pow,5x5x5x5,153460,516925,48.418,14.374,3.368
2401,4,prime_pow,7x7x7x7,15713,31724,34.318,16.998,2.019
2401,32,prime_pow,7x7x7x7,84823,253308,50.858,17.030,2.986
