Sweep at 2026-04-21 13:43:12
System: Windows AMD64  CPU pin: 2
Phase: all  Elapsed: 556.9s

r3: success in 32.6s  meas=192 val=288 failed=0  
r4: success in 30.1s  meas=192 val=84 failed=0  
r5: success in 20.4s  meas=144 val=108 failed=0  
r6: success in 22.1s  meas=144 val=84 failed=0  
r7: success in 24.8s  meas=144 val=108 failed=0  
r8: success in 37.8s  meas=228 val=120 failed=0  
r10: success in 24.3s  meas=144 val=108 failed=0  
r11: success in 22.1s  meas=144 val=108 failed=0  
r12: success in 23.2s  meas=144 val=108 failed=0  
r13: success in 23.5s  meas=144 val=84 failed=0  
r16: success in 46.8s  meas=300 val=336 failed=0  
r17: success in 22.2s  meas=144 val=84 failed=0  
r19: success in 22.6s  meas=144 val=84 failed=0  
r20: success in 24.6s  meas=144 val=108 failed=0  
r25: success in 39.0s  meas=256 val=192 failed=0  
r32: success in 48.9s  meas=300 val=336 failed=0  
r64: success in 59.7s  meas=300 val=336 failed=0  
