N,K,transform,placement,route,ns,relerr,built,refused,rot
2048,1,r2c,oop,r0,1134,4.112e-16,1,0,0
2048,1,r2c,oop,r1,1224,4.112e-16,1,0,0
2048,1,r2c,oop,W,1141,4.112e-16,1,0,0
2048,1,r2c,ip,r0,1517,4.112e-16,1,0,0
2048,1,r2c,ip,r1,1137,4.112e-16,1,0,0
2048,1,r2c,ip,W,1139,4.112e-16,1,0,0
2048,1,c2r,oop,r0,1677,8.882e-16,1,0,0
2048,1,c2r,oop,r1,1261,8.882e-16,1,0,0
2048,1,c2r,oop,W,1686,8.882e-16,1,0,0
2048,1,c2r,ip,r0,1610,8.882e-16,1,0,0
2048,1,c2r,ip,r1,1195,8.882e-16,1,0,0
2048,1,c2r,ip,W,1189,8.882e-16,1,0,0
